 select * from readersInSub(12);
readersinsub
--------------
            2
(1 row)
 

Time: 136.915 ms

select * from add_bonus(12, 1);
add_bonus
-----------
 
(1 row)
 
 
Time: 147.897 ms


 wage_amount | wage_employeeid 
-------------+-----------------
     3073.35 |               3
     3036.08 |               5
(2 rows)

Time: 191.369 ms

Library Billing System=# select *  from billingByDate('2024-12-10','2024-12-10');
billing_amount | billing_date | billing_billingid
----------------+--------------+-------------------
          61.02 | 2024-12-10   |              2298
         478.40 | 2024-12-10   |              2573
         471.44 | 2024-12-10   |              3506
         420.90 | 2024-12-10   |              5629
         265.52 | 2024-12-10   |              8085
         331.91 | 2024-12-10   |              8391
          71.39 | 2024-12-10   |              8989
         692.68 | 2024-12-10   |             14654
         979.17 | 2024-12-10   |             15046
          32.81 | 2024-12-10   |             17014
         104.76 | 2024-12-10   |             22047
         913.35 | 2024-12-10   |             22754
         168.92 | 2024-12-10   |             23150
         109.58 | 2024-12-10   |             28680
         276.44 | 2024-12-10   |             40825
         737.17 | 2024-12-10   |             41867
          29.10 | 2024-12-10   |             42072
         837.41 | 2024-12-10   |             44247
         807.31 | 2024-12-10   |             48301
         208.49 | 2024-12-10   |             48318
         303.21 | 2024-12-10   |             54722
         326.50 | 2024-12-10   |             57706
         905.59 | 2024-12-10   |             57902
         518.08 | 2024-12-10   |             58317
         916.58 | 2024-12-10   |             59278
          63.83 | 2024-12-10   |             62991
         713.26 | 2024-12-10   |             78224
         207.91 | 2024-12-10   |             79948
         581.42 | 2024-12-10   |             81378
         873.91 | 2024-12-10   |             85823
         731.39 | 2024-12-10   |             87398
         174.66 | 2024-12-10   |             88540
          63.30 | 2024-12-10   |             92619
         704.62 | 2024-12-10   |             97489
         609.01 | 2024-12-10   |            102936
         491.83 | 2024-12-10   |            103320
         674.78 | 2024-12-10   |            103913
         771.71 | 2024-12-10   |            105081
         523.04 | 2024-12-10   |            107006
         356.46 | 2024-12-10   |            108594
         150.39 | 2024-12-10   |            110993
          95.71 | 2024-12-10   |            111693
         949.20 | 2024-12-10   |            113609

Time: 138.614 ms
